Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"iisexpress.exe",478,0,100.00,0.00,"",
0,"[ntdll.dll]",441,0,92.26,0.00,"ntdll.dll",
1,"[ntdll.dll]",441,0,92.26,0.00,"ntdll.dll",
2,"[kernel32.dll]",378,0,79.08,0.00,"kernel32.dll",
3,"[iisexpress.exe]",163,16,34.10,3.35,"iisexpress.exe",
4,"[shell32.dll]",33,0,6.90,0.00,"shell32.dll",
5,"[shell32.dll]",33,0,6.90,0.00,"shell32.dll",
6,"[shell32.dll]",33,0,6.90,0.00,"shell32.dll",
7,"[shell32.dll]",33,0,6.90,0.00,"shell32.dll",
8,"[shell32.dll]",33,0,6.90,0.00,"shell32.dll",
9,"[shell32.dll]",17,0,3.56,0.00,"shell32.dll",
10,"[windows.storage.dll]",15,0,3.14,0.00,"windows.storage.dll",
11,"[windows.storage.dll]",15,0,3.14,0.00,"windows.storage.dll",
12,"[windows.storage.dll]",15,0,3.14,0.00,"windows.storage.dll",
13,"[windows.storage.dll]",14,0,2.93,0.00,"windows.storage.dll",
14,"[windows.storage.dll]",10,1,2.09,0.21,"windows.storage.dll",
15,"[windows.storage.dll]",9,0,1.88,0.00,"windows.storage.dll",
16,"[windows.storage.dll]",9,0,1.88,0.00,"windows.storage.dll",
17,"[windows.storage.dll]",8,0,1.67,0.00,"windows.storage.dll",
18,"[windows.storage.dll]",7,0,1.46,0.00,"windows.storage.dll",
19,"[windows.storage.dll]",7,0,1.46,0.00,"windows.storage.dll",
20,"[windows.storage.dll]",6,0,1.26,0.00,"windows.storage.dll",
21,"[windows.storage.dll]",6,0,1.26,0.00,"windows.storage.dll",
22,"[windows.storage.dll]",6,0,1.26,0.00,"windows.storage.dll",
23,"[propsys.dll]",4,0,0.84,0.00,"propsys.dll",
24,"[propsys.dll]",3,0,0.63,0.00,"propsys.dll",
25,"[propsys.dll]",3,0,0.63,0.00,"propsys.dll",
26,"[propsys.dll]",3,0,0.63,0.00,"propsys.dll",
27,"[combase.dll]",2,0,0.42,0.00,"combase.dll",
28,"[combase.dll]",2,0,0.42,0.00,"combase.dll",
29,"[combase.dll]",2,0,0.42,0.00,"combase.dll",
30,"[combase.dll]",2,0,0.42,0.00,"combase.dll",
31,"[combase.dll]",2,0,0.42,0.00,"combase.dll",
32,"[combase.dll]",2,0,0.42,0.00,"combase.dll",
33,"[rpcrt4.dll]",1,0,0.21,0.00,"rpcrt4.dll",
34,"[rpcrt4.dll]",1,0,0.21,0.00,"rpcrt4.dll",
35,"[rpcrt4.dll]",1,0,0.21,0.00,"rpcrt4.dll",
36,"[rpcrt4.dll]",1,0,0.21,0.00,"rpcrt4.dll",
37,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
38,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
39,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
40,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
41,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
42,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
43,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
44,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
45,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
46,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
47,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
48,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
49,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
33,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
34,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
35,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
36,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
37,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
38,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
39,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
40,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
41,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
42,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
43,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
44,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
45,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
46,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
47,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
48,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
49,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
27,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
28,"[SHCore.dll]",1,1,0.21,0.21,"SHCore.dll",
24,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
25,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
26,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
27,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
28,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
29,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
30,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
31,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
32,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
33,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
34,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
35,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
36,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
37,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
38,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
39,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
40,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
41,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
42,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
43,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
44,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
45,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
46,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
47,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
48,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
49,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
50,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
51,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
52,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
53,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
54,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
55,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
56,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
23,"[windows.storage.dll]",2,0,0.42,0.00,"windows.storage.dll",
24,"[windows.storage.dll]",2,0,0.42,0.00,"windows.storage.dll",
25,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
26,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
27,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
28,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
29,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
30,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
31,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
32,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
33,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
34,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
35,"[msvcrt.dll]",1,0,0.21,0.00,"msvcrt.dll",
36,"[msvcrt.dll]",1,0,0.21,0.00,"msvcrt.dll",
37,"[msvcrt.dll]",1,0,0.21,0.00,"msvcrt.dll",
38,"[msvcrt.dll]",1,1,0.21,0.21,"msvcrt.dll",
25,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
26,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
27,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
28,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
32,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
33,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
34,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
35,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
36,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
37,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
38,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
39,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
20,"[profapi.dll]",1,0,0.21,0.00,"profapi.dll",
21,"[profapi.dll]",1,0,0.21,0.00,"profapi.dll",
22,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
23,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
24,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
25,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
30,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
31,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
32,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
33,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
34,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
35,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
18,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
19,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
20,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
21,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
22,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
23,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
24,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
25,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
26,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
27,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
28,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
29,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
30,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
31,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
17,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
18,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
19,"[KernelBase.dll]",1,1,0.21,0.21,"KernelBase.dll",
14,"[ntdll.dll]",4,1,0.84,0.21,"ntdll.dll",
15,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
16,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
17,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
18,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
19,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
20,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
21,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
22,"[ntdll.dll]",3,0,0.63,0.00,"ntdll.dll",
23,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
24,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
25,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
30,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
31,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
32,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
33,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
34,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
35,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
36,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
37,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
25,"[aepic.dll]",1,0,0.21,0.00,"aepic.dll",
26,"[aepic.dll]",1,0,0.21,0.00,"aepic.dll",
27,"[aepic.dll]",1,0,0.21,0.00,"aepic.dll",
28,"[aepic.dll]",1,0,0.21,0.00,"aepic.dll",
29,"[aepic.dll]",1,0,0.21,0.00,"aepic.dll",
30,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
31,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
32,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
33,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
34,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
35,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
36,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
37,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
38,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
39,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
40,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
41,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
42,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
43,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
23,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
24,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
25,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
27,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
28,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
29,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
30,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
31,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
32,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
33,"[klhkum.dll]",1,0,0.21,0.00,"klhkum.dll",
34,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
13,"[KernelBase.dll]",1,1,0.21,0.21,"KernelBase.dll",
10,"[shell32.dll]",2,0,0.42,0.00,"shell32.dll",
11,"[shell32.dll]",2,0,0.42,0.00,"shell32.dll",
12,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
13,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
14,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
15,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
16,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
17,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
18,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
19,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
20,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
21,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
22,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
23,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
24,"[propsys.dll]",1,1,0.21,0.21,"propsys.dll",
12,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
13,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
14,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
15,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
16,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
17,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
18,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
19,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
20,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
21,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
22,"[SHCore.dll]",1,0,0.21,0.00,"SHCore.dll",
23,"[SHCore.dll]",1,0,0.21,0.00,"SHCore.dll",
24,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
25,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
26,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
31,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
32,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
33,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
34,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
35,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
36,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
9,"[windows.storage.dll]",16,0,3.35,0.00,"windows.storage.dll",
10,"[windows.storage.dll]",16,0,3.35,0.00,"windows.storage.dll",
11,"[windows.storage.dll]",15,0,3.14,0.00,"windows.storage.dll",
12,"[windows.storage.dll]",10,0,2.09,0.00,"windows.storage.dll",
13,"[windows.storage.dll]",10,0,2.09,0.00,"windows.storage.dll",
14,"[windows.storage.dll]",10,0,2.09,0.00,"windows.storage.dll",
15,"[windows.storage.dll]",9,0,1.88,0.00,"windows.storage.dll",
16,"[windows.storage.dll]",8,0,1.67,0.00,"windows.storage.dll",
17,"[windows.storage.dll]",4,0,0.84,0.00,"windows.storage.dll",
18,"[windows.storage.dll]",3,0,0.63,0.00,"windows.storage.dll",
19,"[windows.storage.dll]",3,0,0.63,0.00,"windows.storage.dll",
20,"[windows.storage.dll]",2,0,0.42,0.00,"windows.storage.dll",
21,"[windows.storage.dll]",2,0,0.42,0.00,"windows.storage.dll",
22,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
23,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
24,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
25,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
26,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
27,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
28,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
29,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
30,"[windows.storage.dll]",1,0,0.21,0.00,"windows.storage.dll",
31,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
32,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
33,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
34,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
35,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
36,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
37,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
38,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
39,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
40,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
41,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
42,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
43,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
44,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
22,"[propsys.dll]",1,0,0.21,0.00,"propsys.dll",
23,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
24,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
25,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
26,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
30,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
31,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
32,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
33,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
34,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
35,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
36,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
37,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
20,"[SHCore.dll]",1,0,0.21,0.00,"SHCore.dll",
21,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
22,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
23,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
24,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
25,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
28,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
29,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
30,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
31,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
32,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
33,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
34,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
35,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
18,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
19,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
17,"[ntdll.dll]",3,1,0.63,0.21,"ntdll.dll",
18,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
19,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
20,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
21,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
22,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
23,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
24,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
25,"[ntdll.dll]",2,0,0.42,0.00,"ntdll.dll",
26,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
27,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
26,"[apphelp.dll]",1,0,0.21,0.00,"apphelp.dll",
27,"[apphelp.dll]",1,0,0.21,0.00,"apphelp.dll",
28,"[apphelp.dll]",1,1,0.21,0.21,"apphelp.dll",
17,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
18,"[KernelBase.dll]",1,0,0.21,0.00,"KernelBase.dll",
19,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
20,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
21,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
22,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
23,"[ntdll.dll]",1,0,0.21,0.00,"ntdll.dll",
24,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
25,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
26,"[wow64cpu.dll]",1,0,0.21,0.00,"wow64cpu.dll",
27,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
28,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
29,"[wow64.dll]",1,0,0.21,0.00,"wow64.dll",
30,"[ntdll.dll]",1,1,0.21,0.21,"ntdll.dll",
16,"[iertutil.dll]",1,0,0.21,0.00,"iertutil.dll",
17,"[iertutil.dll]",1,0,0.21,0.00,"iertutil.dll",
18,"[iertutil.dll]",1,0,0.21,0.00,"iertutil.dll",
19,"[iertutil.dll]",1,0,0.21,0.00,"iertutil.dll",
20,"[iertutil.dll]",1,0,0.21,0.00,"iertutil.dll",
21,"[iertutil.dll]",1,0,0.21,0.00,"iertutil.dll",
22,"[iertutil.dll]",1,1,0.21,0.21,"iertutil.dll",
15,"[shell32.dll]",1,0,0.21,0.00,"shell32.dll",
16,"[shell32.dll]",1,0,0.21,0.00,"shell32.dll",
17,"[shell32.dll]",1,0,0.21,0.00,"shell32.dll",
18,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
19,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
20,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
21,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
22,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
23,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
24,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
25,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
26,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
27,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
28,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
29,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
30,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
31,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
32,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
33,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
34,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
35,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
36,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
37,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
38,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
39,"[combase.dll]",1,0,0.21,0.00,"combase.dll",
40,"[clbcatq.dll]",1,0,0.21,0.00,"clbcatq.dll",
41,"[combase.dll]",1,1,0.21,0.21,"combase.dll",
12,"[shlwapi.dll]",5,0,1.05,0.00,"shlwapi.dll",
13,"[shlwapi.dll]",5,0,1.05,0.00,"shlwapi.dll",
14,"[urlmon.dll]",4,0,0.84,0.00,"urlmon.dll",
15,"[urlmon.dll]",4,0,0.84,0.00,"urlmon.dll",
16,"[urlmon.dll]",4,0,0.84,0.00,"urlmon.dll",
17,"[iertutil.dll]",2,0,0.42,0.00,"iertutil.dll",
18,"[KernelBase.dll]",2,0,0.42,0.00,"KernelBase.dll",
