Mark ID,Mark Name,Timestamp,CPU Usage %,
0,"Start of Program",0.00,0,
1,"VSPXAutoMark",500.00,0,
2,"VSPXAutoMark","1,000.00",13,
3,"VSPXAutoMark","1,500.00",0,
4,"VSPXAutoMark","2,000.00",0,
5,"VSPXAutoMark","2,500.00",0,
6,"VSPXAutoMark","3,000.00",0,
7,"VSPXAutoMark","3,500.00",0,
8,"VSPXAutoMark","4,000.00",0,
9,"VSPXAutoMark","4,500.00",0,
10,"VSPXAutoMark","5,000.00",0,
11,"VSPXAutoMark","5,500.00",0,
12,"VSPXAutoMark","6,000.00",1,
13,"VSPXAutoMark","6,500.00",0,
14,"VSPXAutoMark","7,000.00",0,
15,"VSPXAutoMark","7,500.00",0,
16,"VSPXAutoMark","8,000.00",0,
17,"VSPXAutoMark","8,500.00",0,
18,"VSPXAutoMark","9,000.00",0,
19,"VSPXAutoMark","9,500.00",0,
20,"VSPXAutoMark","10,000.00",0,
21,"VSPXAutoMark","10,500.00",0,
22,"VSPXAutoMark","11,000.00",0,
23,"VSPXAutoMark","11,500.00",0,
24,"VSPXAutoMark","12,000.00",0,
25,"VSPXAutoMark","12,500.00",0,
26,"VSPXAutoMark","13,000.00",0,
27,"VSPXAutoMark","13,500.00",0,
28,"VSPXAutoMark","14,000.00",0,
29,"VSPXAutoMark","14,500.00",0,
30,"VSPXAutoMark","15,000.00",0,
31,"VSPXAutoMark","15,500.00",0,
32,"VSPXAutoMark","16,000.00",0,
33,"VSPXAutoMark","16,500.00",0,
34,"VSPXAutoMark","17,000.00",0,
35,"VSPXAutoMark","17,500.00",0,
36,"VSPXAutoMark","18,000.00",0,
37,"VSPXAutoMark","18,500.00",0,
38,"VSPXAutoMark","19,000.00",0,
39,"VSPXAutoMark","19,500.00",0,
40,"VSPXAutoMark","20,000.00",0,
41,"VSPXAutoMark","20,500.00",0,
42,"VSPXAutoMark","21,000.00",0,
43,"VSPXAutoMark","21,500.00",0,
44,"VSPXAutoMark","22,000.00",0,
45,"VSPXAutoMark","22,500.00",0,
46,"VSPXAutoMark","23,000.00",0,
47,"VSPXAutoMark","23,500.00",0,
48,"VSPXAutoMark","24,000.00",0,
49,"VSPXAutoMark","24,500.00",0,
50,"VSPXAutoMark","25,000.00",0,
51,"VSPXAutoMark","25,500.00",0,
52,"VSPXAutoMark","26,000.00",0,
53,"VSPXAutoMark","26,500.00",0,
54,"VSPXAutoMark","27,000.00",0,
55,"VSPXAutoMark","27,500.00",0,
56,"VSPXAutoMark","28,000.00",0,
57,"VSPXAutoMark","28,500.00",0,
58,"VSPXAutoMark","29,000.00",0,
59,"VSPXAutoMark","29,500.00",0,
60,"VSPXAutoMark","30,000.00",0,
61,"VSPXAutoMark","30,500.00",0,
62,"VSPXAutoMark","31,000.00",0,
63,"VSPXAutoMark","31,500.00",0,
64,"VSPXAutoMark","32,000.00",0,
65,"VSPXAutoMark","32,500.00",0,
66,"VSPXAutoMark","33,000.00",0,
67,"VSPXAutoMark","33,500.00",0,
68,"VSPXAutoMark","34,000.00",1,
69,"VSPXAutoMark","34,500.00",0,
70,"VSPXAutoMark","35,000.00",0,
71,"VSPXAutoMark","35,500.00",0,
72,"VSPXAutoMark","36,000.00",0,
73,"VSPXAutoMark","36,500.00",0,
74,"VSPXAutoMark","37,000.00",1,
75,"VSPXAutoMark","37,500.00",0,
76,"VSPXAutoMark","38,000.00",0,
77,"VSPXAutoMark","38,500.00",0,
78,"VSPXAutoMark","39,000.00",0,
79,"VSPXAutoMark","39,500.00",0,
80,"VSPXAutoMark","40,000.00",0,
81,"VSPXAutoMark","40,500.00",0,
82,"VSPXAutoMark","41,000.00",0,
83,"VSPXAutoMark","41,500.00",0,
84,"VSPXAutoMark","42,000.00",0,
85,"VSPXAutoMark","42,500.00",0,
86,"VSPXAutoMark","43,000.00",0,
87,"VSPXAutoMark","43,500.00",0,
88,"VSPXAutoMark","44,000.00",0,
89,"VSPXAutoMark","44,500.00",0,
90,"VSPXAutoMark","45,000.00",0,
91,"VSPXAutoMark","45,500.00",0,
92,"VSPXAutoMark","46,000.00",0,
93,"VSPXAutoMark","46,500.00",0,
94,"VSPXAutoMark","47,000.00",0,
95,"VSPXAutoMark","47,500.00",0,
96,"VSPXAutoMark","48,000.00",0,
97,"VSPXAutoMark","48,500.00",0,
98,"VSPXAutoMark","49,000.00",0,
99,"VSPXAutoMark","49,500.00",0,
100,"VSPXAutoMark","50,000.00",0,
101,"VSPXAutoMark","50,500.00",0,
102,"VSPXAutoMark","51,000.00",0,
103,"VSPXAutoMark","51,500.00",0,
104,"VSPXAutoMark","52,000.00",0,
105,"VSPXAutoMark","52,500.00",0,
106,"VSPXAutoMark","53,000.00",0,
107,"VSPXAutoMark","53,500.00",0,
108,"VSPXAutoMark","54,000.00",0,
109,"VSPXAutoMark","54,500.00",0,
110,"VSPXAutoMark","55,000.00",0,
111,"VSPXAutoMark","55,500.00",0,
112,"VSPXAutoMark","56,000.00",0,
113,"VSPXAutoMark","56,500.00",0,
114,"VSPXAutoMark","57,000.00",0,
115,"VSPXAutoMark","57,500.00",0,
116,"VSPXAutoMark","58,000.00",0,
117,"VSPXAutoMark","58,500.00",0,
118,"VSPXAutoMark","59,000.00",0,
119,"VSPXAutoMark","59,500.00",0,
120,"VSPXAutoMark","60,000.00",0,
121,"VSPXAutoMark","60,500.00",0,
122,"VSPXAutoMark","61,000.00",0,
123,"VSPXAutoMark","61,500.00",0,
124,"VSPXAutoMark","62,000.00",0,
125,"VSPXAutoMark","62,500.00",0,
126,"VSPXAutoMark","63,000.00",0,
127,"VSPXAutoMark","63,500.00",0,
128,"VSPXAutoMark","64,000.00",0,
129,"VSPXAutoMark","64,500.00",0,
130,"VSPXAutoMark","65,000.00",0,
131,"VSPXAutoMark","65,500.00",0,
132,"VSPXAutoMark","66,000.00",0,
133,"VSPXAutoMark","66,500.00",0,
134,"VSPXAutoMark","67,000.00",0,
135,"VSPXAutoMark","67,500.00",0,
136,"VSPXAutoMark","68,000.00",0,
137,"VSPXAutoMark","68,500.00",0,
